batting_team,bowling_team,current_score,balls_left,wickets_left,current_run_rate,last_five_overs,runs_x
Australia,South Africa,108,18,4,6.352941176470588,33.0,147
New Zealand,India,116,50,9,9.942857142857145,44.0,203
Zimbabwe,Bangladesh,131,3,0,6.717948717948718,26.0,131
United Arab Emirates,Netherlands,47,79,8,6.878048780487805,34.0,151
India,England,127,32,5,8.659090909090908,49.0,165
Australia,Sri Lanka,154,39,9,11.407407407407408,69.0,233
India,England,124,36,7,8.857142857142858,54.0,202
Oman,United Arab Emirates,108,16,5,6.230769230769231,27.0,133
Afghanistan,Scotland,194,5,6,10.121739130434785,63.0,210
Australia,England,96,65,9,10.472727272727273,56.0,248
West Indies,England,103,31,7,6.943820224719101,37.0,125
New Zealand,India,73,40,6,5.475,28.0,126
India,South Africa,80,54,8,7.272727272727272,44.0,186
Ireland,India,27,87,7,4.909090909090909,25.0,112
Pakistan,Australia,46,68,8,5.307692307692308,32.0,149
England,Pakistan,44,75,9,5.866666666666666,36.0,148
Ireland,Netherlands,145,3,4,7.435897435897436,39.0,151
West Indies,India,64,63,10,6.7368421052631575,38.0,169
West Indies,Australia,90,28,4,5.869565217391305,30.0,138
Pakistan,New Zealand,191,5,6,9.965217391304348,54.0,201
West Indies,New Zealand,115,6,4,6.052631578947368,36.0,126
Ireland,Afghanistan,62,51,4,5.391304347826087,18.0,71
India,Bangladesh,113,30,8,7.533333333333333,37.0,180
India,New Zealand,51,88,9,9.5625,46.0,163
Sri Lanka,India,99,65,8,10.8,38.0,206
England,Australia,38,76,8,5.181818181818182,27.0,182
Sri Lanka,West Indies,60,70,10,7.2,48.0,158
England,New Zealand,86,58,6,8.32258064516129,25.0,193
India,England,169,7,4,8.973451327433628,61.0,177
Afghanistan,Scotland,119,41,7,9.037974683544304,43.0,171
South Africa,Australia,45,74,8,5.869565217391305,37.0,146
Pakistan,Sri Lanka,119,3,4,6.102564102564102,38.0,122
England,West Indies,94,50,8,8.057142857142857,37.0,182
Sri Lanka,India,206,0,3,10.214876033057852,48.0,206
Sri Lanka,Australia,118,21,6,7.151515151515151,45.0,161
Sri Lanka,Bangladesh,39,83,8,6.324324324324325,31.0,147
Pakistan,New Zealand,143,6,5,7.526315789473684,34.0,153
West Indies,India,63,32,4,4.295454545454546,16.0,109
Zimbabwe,West Indies,80,11,4,4.403669724770642,31.0,105
Bangladesh,Pakistan,81,40,7,6.075,37.0,136
Afghanistan,Zimbabwe,172,13,6,9.644859813084112,88.0,197
West Indies,Pakistan,81,37,5,5.855421686746988,22.0,166
Australia,Pakistan,92,38,4,6.7317073170731705,23.0,127
Afghanistan,United Arab Emirates,68,52,6,6.0,23.0,161
Australia,India,104,55,9,9.6,52.0,184
New Zealand,Sri Lanka,138,18,4,8.117647058823529,54.0,179
New Zealand,Sri Lanka,93,34,6,6.488372093023256,38.0,142
Afghanistan,Ireland,24,88,8,4.5,23.0,139
South Africa,New Zealand,86,40,7,6.45,35.0,170
Afghanistan,India,59,46,7,4.783783783783784,26.0,115
South Africa,Australia,170,17,7,9.902912621359222,63.0,201
